Stn,Datum,Tg,qTg,Tn,qTn,Tx,qTx
9,10,13,4,78,40,91,87
90,83,12,55,53,52,36,13
80,71,28,39,62,36,56,9
73,72,44,68,4,59,94,47
67,54,4,66,66,86,23,9
26,18,81,50,12,79,85,92
77,40,87,20,90,25,9,100
95,1,20,24,2,88,37,61
81,70,46,9,34,61,37,47
95,98,43,1,47,71,3,65
35,33,65,73,70,37,0,29
8,75,12,33,52,53,47,84
81,18,49,4,15,11,36,14
5,32,71,70,46,8,37,0
85,66,95,61,89,66,42,97
39,31,69,4,27,28,62,29
19,79,92,62,79,41,16,80
88,80,10,4,52,37,54,52
65,29,6,89,53,21,99,68
13,1,12,14,21,13,24,14
14,9,21,84,91,81,42,44
11,2,3,34,44,27,9,51
45,90,33,20,86,30,85,77
49,23,74,90,55,79,86,4
10,45,66,0,73,93,76,11
17,45,91,18,42,33,79,1
13,32,84,50,0,26,85,85
76,30,28,84,88,40,8,15
6,42,83,52,86,28,71,87
35,15,63,84,61,23,65,61
25,85,0,55,64,51,75,88
39,52,90,84,75,85,79,39
39,15,73,34,98,28,61,63
68,38,18,28,80,51,74,35
42,5,66,5,13,51,19,65
93,67,66,94,51,48,97,83
63,98,54,13,27,95,6,5
69,76,88,90,76,20,84,30
27,94,81,35,18,77,42,91
36,95,93,35,91,29,61,83
76,64,70,93,47,78,56,35
12,96,10,64,42,57,28,19
57,71,10,40,9,12,93,90
66,94,28,50,9,47,38,90
57,27,39,58,30,17,85,44
35,45,49,57,20,24,84,98
15,33,10,74,99,26,82,59
45,70,0,34,68,38,35,16
99,90,75,35,42,13,9,52
2,88,52,10,38,55,85,72
91,21,25,46,55,26,68,85
95,68,84,71,89,3,29,28
23,73,80,13,30,78,82,62
56,11,93,12,40,23,16,10
54,77,77,76,64,45,100,5
85,44,45,73,83,7,3,7
33,24,8,80,69,47,6,60
8,15,48,89,65,23,66,76
98,53,91,99,32,33,41,62
15,75,72,16,18,74,67,90
24,86,99,84,57,3,81,89
32,76,61,87,21,96,55,91
89,35,65,52,13,91,45,73
56,53,73,88,68,72,59,14
89,6,20,90,25,31,63,11
26,80,65,80,88,10,47,100
95,21,57,60,75,19,28,19
54,38,95,60,62,97,47,24
41,99,70,66,17,83,30,62
90,34,6,8,98,0,94,72
79,48,25,58,1,30,33,72
4,24,47,76,18,64,46,4
56,32,90,77,82,61,93,35
44,40,14,85,100,44,19,54
68,71,100,34,85,63,25,31
50,74,77,26,38,23,71,77
66,42,85,61,66,43,39,33
63,83,74,16,67,69,74,81
22,51,47,20,8,64,18,33
47,61,38,62,89,15,79,23
71,34,33,49,64,0,99,26
4,8,33,91,48,33,46,82
32,43,36,85,62,15,53,67
67,96,56,43,43,49,19,68
87,82,4,34,86,0,52,5
59,32,22,85,72,72,24,6
11,66,16,12,75,22,54,17
47,99,15,91,85,61,10,71
39,47,82,58,55,42,47,50
18,44,17,3,69,65,96,64
68,59,72,51,73,49,97,60
96,31,50,20,94,20,9,9
31,5,88,45,76,68,18,96
12,35,70,85,22,15,70,53
90,37,100,17,45,61,55,47
49,50,16,2,32,85,65,47
27,41,51,63,2,75,76,86
85,11,59,73,58,81,41,73
38,26,68,87,90,2,54,43
96,3,84,72,100,64,32,17
46,41,21,70,97,17,24,7
5,83,51,78,39,50,13,50
37,27,11,11,43,76,3,80
83,10,42,3,13,28,71,83
87,82,79,61,37,63,75,10
36,10,92,52,30,12,61,24
61,60,35,43,10,87,31,84
61,8,91,11,88,70,37,61
81,58,95,80,3,84,0,63
51,6,75,94,32,6,6,89
59,35,79,16,66,25,4,0
74,75,76,93,81,95,3,2
76,39,9,33,53,47,58,27
39,35,10,38,13,13,65,87
63,15,81,41,95,10,22,1
11,2,36,85,89,6,57,61
42,33,3,57,2,18,75,78
98,92,22,11,9,60,58,42
17,72,3,0,28,72,52,43
48,93,28,25,40,46,36,2
4,49,0,51,75,61,74,97
2,21,63,7,96,54,86,30
5,38,2,24,54,3,54,6
16,57,68,84,16,97,85,22
87,55,53,79,84,15,87,74
95,2,52,60,59,63,28,65
92,3,87,19,30,30,93,92
89,42,84,56,66,59,39,58
45,87,13,88,30,65,76,69
44,88,3,92,59,62,99,23
89,12,55,76,44,20,51,11
5,75,46,55,50,91,23,30
94,65,24,5,75,54,96,4
26,45,71,65,50,62,0,3
98,92,90,0,92,33,52,53
35,97,74,56,19,23,91,84
76,85,91,62,48,77,89,2
28,36,94,46,91,77,51,23
87,58,75,28,92,63,14,0
38,80,61,22,31,8,59,71
92,39,41,15,25,66,10,13
1,19,40,79,92,16,54,38
83,2,69,6,69,44,98,60
66,20,27,35,0,66,77,42
19,53,49,27,46,50,86,41
23,20,3,78,21,55,71,31
33,18,64,87,87,51,81,97
82,82,46,65,93,14,12,50
0,91,20,63,29,3,97,52
99,80,65,14,68,34,4,79
74,99,72,53,15,84,66,0
87,92,0,32,82,87,57,35
38,66,37,44,27,13,98,62
72,84,54,65,38,69,70,67
61,15,29,90,53,38,17,40
35,15,74,86,51,17,95,50
37,56,47,33,93,58,37,37
18,18,21,1,59,49,37,46
55,11,44,95,51,47,96,73
22,39,80,34,74,69,11,49
52,13,69,76,64,4,41,76
77,43,35,13,55,74,33,54
93,18,22,51,16,57,97,31
20,75,0,80,15,74,75,18
30,60,17,6,15,84,69,79
70,12,73,93,20,5,19,33
39,25,27,94,33,89,36,54
92,27,37,96,32,99,79,24
97,96,47,82,62,79,50,36
50,78,30,53,91,70,48,85
48,70,6,93,67,27,8,75
85,41,93,87,86,72,54,53
93,20,46,45,71,44,80,74
10,14,53,96,78,40,62,62
52,9,34,63,74,53,39,92
32,19,87,82,68,74,3,47
44,61,42,29,48,15,55,76
40,78,80,0,33,74,66,36
96,14,27,35,1,20,88,81
72,73,36,15,23,44,61,74
42,75,87,34,93,88,48,12
59,27,37,7,61,90,54,33
44,44,72,37,14,90,56,39
28,50,9,92,91,52,29,55
75,21,61,6,93,20,16,44
96,31,40,6,21,95,13,49
11,29,33,45,94,19,29,70
71,66,94,33,63,28,51,56
1,83,22,9,30,80,42,0
51,30,9,34,32,57,8,16
55,6,49,61,50,46,98,6
90,87,71,70,89,68,8,44
93,70,15,19,3,99,74,12
34,26,50,49,71,57,30,1
1,83,11,15,79,65,76,72
68,57,58,20,36,16,77,48
35,4,49,48,24,74,15,26
35,53,96,45,92,78,51,40
39,14,91,27,61,80,47,25
56,11,32,47,89,97,21,9
17,59,52,37,37,43,44,37
50,51,44,32,92,0,42,14
75,76,29,92,37,43,51,31
5,56,28,99,66,95,43,44
66,29,88,27,23,55,87,63
63,25,31,67,81,32,71,31
27,61,66,9,66,84,26,62
84,70,92,90,92,62,36,65
41,57,54,57,91,69,39,89
0,9,28,61,47,28,27,62
0,75,41,57,16,97,70,18
3,79,72,60,38,18,27,42
85,61,86,29,56,63,49,91
75,84,51,36,1,38,11,78
89,12,92,39,94,40,4,96
58,55,85,96,7,70,70,32
48,16,92,74,9,91,80,13
27,11,1,77,15,2,88,30
4,17,100,29,11,40,49,88
89,35,25,70,63,54,38,68
66,32,13,19,59,96,34,63
43,79,4,81,33,86,35,66
39,22,41,30,93,99,92,37
1,42,5,42,15,55,81,30
33,48,1,96,34,70,34,52
82,86,10,73,24,49,51,41
99,23,89,90,48,94,79,68
60,78,80,34,8,47,81,65
24,7,100,83,86,93,83,22
35,97,81,45,61,80,89,48
61,93,13,28,9,49,51,12
18,5,19,68,3,92,45,69
55,51,62,96,37,20,48,49
100,49,67,45,31,81,8,37
75,83,57,2,70,13,38,68
33,10,89,81,78,6,46,87
86,98,24,39,87,30,87,65
56,62,88,27,44,23,51,43
36,32,44,96,31,20,67,41
6,61,44,71,32,8,83,45
31,72,38,72,0,81,59,3
22,21,2,55,80,100,84,65
20,45,27,5,30,75,96,24
53,24,11,18,0,77,59,97
22,74,74,96,61,3,29,20
35,70,33,24,23,19,11,45
50,74,91,64,15,70,55,14
25,38,34,72,98,18,4,58
31,4,83,95,88,84,14,87
58,64,81,61,32,5,51,37
16,86,85,11,22,40,8,43
90,14,5,86,55,61,70,61
12,36,31,95,36,33,14,30
18,57,74,80,30,81,40,11
14,68,34,49,99,96,49,46
9,17,49,54,72,28,49,27
75,99,0,38,50,47,42,25
61,10,89,76,67,79,52,93
80,49,91,86,1,90,64,28
89,55,34,79,0,30,9,63
77,37,6,82,47,84,77,35
17,90,67,32,13,13,94,1
3,47,52,14,65,10,38,4
28,74,22,5,50,41,3,31
14,37,45,43,72,47,50,65
7,38,26,34,46,53,1,75
56,1,17,6,55,62,71,86
85,89,89,42,32,10,89,60
15,72,89,7,38,44,55,26
0,31,2,72,28,7,80,50
73,16,31,99,14,29,49,57
85,28,54,17,79,15,93,75
3,37,19,11,32,9,78,25
87,68,73,49,91,42,32,69
78,26,34,59,27,98,73,43
13,73,49,18,49,84,80,96
44,42,28,93,68,42,58,8
82,37,58,59,100,91,92,63
69,47,94,79,24,80,22,29
79,61,78,43,35,53,13,31
10,11,36,25,18,100,19,69
49,31,84,49,95,32,45,5
21,16,0,2,89,44,45,73
100,40,14,12,7,43,37,65
54,27,88,36,9,68,20,31
39,60,8,81,41,47,66,8
22,23,16,44,53,15,87,8
23,42,77,28,20,61,17,52
65,36,63,25,44,52,99,5
77,23,88,7,80,44,55,91
44,37,42,23,17,99,62,77
69,97,84,99,57,23,14,38
68,77,58,61,25,66,48,13
38,95,50,75,62,88,9,92
19,76,19,14,78,92,20,82
74,38,87,38,33,100,31,56
17,45,63,18,99,71,98,18
65,9,40,49,78,61,49,53
36,52,37,82,28,66,74,50
76,25,38,26,7,38,99,3
45,80,3,84,14,15,46,38
92,78,0,35,85,44,50,23
61,89,18,76,63,50,9,22
89,16,41,75,22,43,18,9
52,52,7,17,28,92,70,50
88,36,25,11,24,78,23,23
5,75,81,74,93,5,79,73
9,72,52,85,77,33,66,31
99,79,94,15,14,33,30,70
2,78,52,66,54,46,3,71
96,53,82,36,100,52,12,85
76,61,7,9,100,88,16,17
77,25,13,91,8,96,19,52
54,33,66,50,49,16,29,6
44,77,52,49,84,35,6,43
46,91,56,3,39,93,69,40
54,61,85,68,71,65,59,8
29,13,42,70,32,0,43,19
67,27,22,46,26,79,74,49
96,95,52,80,63,37,27,47
20,93,43,50,60,93,0,97
77,3,81,31,12,5,97,81
93,30,22,83,74,52,15,56
57,59,30,31,98,82,60,74
48,29,92,23,27,53,33,28
21,94,44,68,97,17,40,15
81,74,17,63,29,3,56,37
66,46,29,34,15,30,88,94
14,5,71,93,11,30,71,25
15,31,88,67,36,24,85,50
45,66,42,46,91,49,89,62
94,9,39,82,13,85,43,13
39,40,65,28,22,63,64,82
97,23,45,99,62,98,96,32
85,26,76,23,26,54,20,90
47,41,60,42,36,42,82,85
66,44,95,91,95,0,2,69
19,85,68,51,91,50,20,33
5,31,71,71,74,93,50,26
31,25,37,47,96,72,24,47
33,57,0,15,44,67,12,16
38,54,38,51,36,64,92,67
52,68,55,66,11,37,24,46
11,13,27,36,97,94,0,91
10,98,52,33,28,38,26,56
16,66,86,94,26,52,56,27
89,30,39,90,90,24,22,54
78,29,82,42,14,47,72,53
71,42,78,63,77,83,77,33
40,12,29,51,42,41,66,4
84,57,94,64,44,37,41,26
22,15,3,86,3,82,31,43
43,81,44,46,93,93,66,55
0,94,63,29,47,52,95,61
62,5,96,63,55,37,95,21
59,19,77,37,59,16,3,63
16,35,1,82,83,4,44,15
6,1,22,88,53,77,53,38
60,11,94,56,47,49,49,52
27,16,67,100,28,12,30,67
42,74,85,95,93,90,24,77
89,33,24,27,11,7,63,2
94,57,44,40,73,57,12,100
13,57,81,13,64,59,98,24
31,74,81,72,55,60,62,73
78,23,52,76,73,78,50,39
69,49,84,2,77,95,3,68
76,79,52,48,43,69,72,36
41,14,72,86,15,93,62,51
21,47,1,62,70,2,98,5
79,17,88,75,33,83,93,96
76,88,45,20,69,86,74,29
72,64,49,38,51,16,65,62
86,22,25,67,21,32,22,27
83,66,1,76,25,71,92,33
28,83,87,75,9,41,1,88
5,40,26,41,90,100,92,54
67,94,83,61,66,94,33,53
32,61,19,55,28,35,37,46
13,50,29,73,25,27,90,10
77,30,53,50,58,91,93,13
62,62,27,95,56,61,53,74
18,61,80,9,24,24,75,97
0,40,61,32,98,43,29,51
55,61,76,15,4,61,84,32
25,38,60,51,42,14,10,31
45,63,60,48,43,82,4,37
6,95,87,64,92,43,71,87
7,3,56,85,93,65,24,70
91,17,60,29,77,89,60,8
86,16,36,65,33,2,74,92
92,88,41,23,12,73,29,89
52,84,24,74,73,8,38,13
100,35,30,93,22,85,42,8
32,70,25,17,66,85,98,71
43,74,67,90,66,65,89,29
41,36,39,8,0,40,70,71
68,14,43,62,32,12,96,58
41,16,37,13,14,15,13,69
46,75,20,28,48,84,5,74
52,5,38,77,38,46,97,70
10,70,74,46,52,19,82,24
74,43,5,74,64,2,26,34
74,17,62,51,51,67,15,1
46,85,64,99,56,70,26,85
11,62,59,11,76,95,4,0
65,38,65,63,68,69,86,16
64,95,51,76,66,36,28,63
58,53,39,61,18,99,36,52
3,44,88,73,5,93,78,47
91,6,2,48,100,1,1,27
79,66,15,81,44,81,52,61
31,41,34,81,56,82,68,56
90,88,59,48,88,77,82,54
63,65,10,65,13,60,83,48
44,9,48,83,46,35,3,6
9,28,0,36,59,37,43,33
85,52,3,71,18,89,5,31
5,84,43,36,76,94,25,56
31,61,86,34,47,30,65,17
21,26,95,88,27,91,49,16
55,95,32,82,35,73,93,81
42,98,52,46,58,37,72,2
39,90,83,78,67,86,12,3
98,22,77,50,0,58,21,77
98,69,29,82,38,24,82,14
14,47,1,13,67,61,59,5
15,31,35,38,13,31,5,81
13,62,53,15,45,58,98,48
25,61,12,5,44,65,12,80
69,56,6,61,97,97,20,87
99,70,14,34,87,62,60,39
4,58,41,54,31,32,81,6
56,32,51,78,13,3,5,47
70,93,64,90,30,18,43,64
36,47,53,41,97,96,55,45
77,39,21,34,62,78,69,44
76,82,32,54,33,16,18,5
98,95,47,15,36,91,32,52
44,56,28,40,43,7,79,18
81,35,77,71,69,29,11,64
37,45,13,77,81,37,59,59
33,83,34,99,41,70,55,41
14,42,76,42,94,79,4,40
92,53,9,47,73,51,19,100
41,3,52,42,16,2,13,21
59,12,54,94,39,67,34,15
4,65,14,83,45,88,81,97
36,75,95,70,22,0,70,87
47,27,83,23,60,93,48,25
11,3,15,76,77,98,88,73
1,9,12,60,55,74,50,56
42,50,91,60,10,52,52,98
61,8,12,12,29,63,71,43
15,85,55,64,15,85,12,31
38,82,29,7,64,73,33,98
78,86,95,89,57,96,63,12
20,42,96,0,83,21,19,19
63,89,21,93,35,77,71,94
35,82,46,36,2,44,23,39
66,77,22,94,93,51,29,35
59,4,17,7,81,94,5,23
3,60,93,76,9,63,83,54
40,10,78,33,9,40,15,99
33,76,71,11,100,8,35,89
49,67,87,48,29,44,21,47
41,92,44,44,10,59,99,54
31,56,18,73,60,21,45,92
12,82,36,34,13,37,31,9
45,61,46,30,43,12,63,86
64,96,46,35,6,61,38,46
51,78,86,78,81,18,28,90
46,33,1,7,50,88,21,63
63,69,20,1,73,36,47,61
67,1,83,56,32,6,43,91
51,6,4,85,33,74,22,27
52,15,13,0,34,37,4,31
4,58,87,51,64,59,58,77
98,86,37,1,32,46,67,36
73,60,9,44,86,65,56,80
83,70,64,68,62,41,40,22
14,33,39,3,32,43,32,0
47,36,94,64,20,17,62,98
38,19,58,18,19,73,6,83
91,9,12,32,50,18,83,41
88,61,3,74,48,35,24,8
60,1,17,60,62,37,46,14
26,30,39,37,89,100,80,56
15,93,93,72,46,93,40,54
83,11,88,13,62,31,10,93
0,18,64,80,64,98,22,71
49,39,53,19,56,0,67,58
48,73,60,77,21,72,9,23
85,86,32,16,1,21,78,60
97,77,100,31,39,90,82,52
32,28,38,11,77,33,72,97
97,51,9,66,85,72,76,44
76,49,15,33,53,72,77,72
22,55,20,1,4,28,35,60
15,22,28,43,56,93,95,28
69,17,7,60,32,50,46,56
94,12,61,42,70,48,55,75
28,91,5,97,3,62,42,52
41,0,96,29,28,93,4,76
92,91,36,5,30,63,21,26
73,47,91,30,21,22,84,44
17,33,35,5,28,21,49,28
7,48,28,70,56,69,14,57
85,14,29,93,27,74,39,90
18,75,78,31,92,45,37,46
52,14,12,41,69,98,100,32
50,32,59,79,1,74,78,29
72,82,32,65,87,54,40,26
1,53,69,39,8,57,11,37
96,48,54,8,49,45,14,1
70,44,38,25,7,26,74,43
15,46,86,42,19,15,7,17
67,84,82,48,48,69,89,41
36,29,41,13,9,82,6,98
94,56,68,54,87,27,90,21
31,12,54,14,50,99,78,69
87,73,52,78,79,14,92,81
52,23,39,15,93,12,67,58
12,48,87,46,66,44,69,76
96,38,11,55,94,40,97,99
91,23,33,66,99,8,98,12
86,17,8,87,16,38,11,10
5,8,69,54,7,74,20,36
45,53,16,9,56,52,24,64
21,6,5,98,5,54,51,68
21,64,90,100,55,51,33,10
93,83,47,28,21,79,62,18
24,64,67,54,13,95,71,56
6,26,27,88,40,100,99,39
59,4,54,25,1,19,21,77
86,81,63,81,12,64,34,56
55,70,39,90,86,75,18,11
94,54,27,95,21,43,38,94
81,34,55,97,4,88,69,94
40,99,81,8,15,17,65,11
97,15,62,8,48,73,6,81
96,87,24,36,82,47,71,25
91,12,34,51,82,55,32,99
32,13,17,39,30,76,78,34
60,72,44,44,49,95,79,10
80,54,9,15,23,37,75,49
57,2,53,58,81,13,100,98
3,61,99,79,94,87,43,98
38,77,88,38,77,29,76,36
58,27,89,72,32,3,32,35
43,85,15,25,70,80,10,39
37,37,36,19,6,57,100,94
88,57,43,22,93,77,89,31
42,57,90,95,57,11,56,40
27,35,58,23,49,97,39,53
67,75,79,99,36,11,97,80
83,86,57,37,67,65,66,20
25,31,100,32,31,60,93,85
25,10,18,89,65,36,55,25
1,25,32,26,25,20,41,42
43,31,35,30,36,57,61,28
13,83,84,93,17,70,87,54
84,18,72,44,83,27,27,39
81,41,51,25,63,3,35,78
70,34,40,52,63,0,52,78
44,26,15,91,18,83,76,66
48,76,52,4,51,30,36,7
54,65,53,93,45,66,4,60
4,64,41,100,90,62,58,41
7,4,46,67,49,63,33,66
12,98,73,94,32,48,85,95
22,79,30,38,63,7,47,63
2,48,29,36,50,24,44,62
0,44,84,10,73,43,20,87
14,70,54,83,25,73,42,68
25,84,27,91,10,81,13,97
11,96,44,65,64,35,75,5
78,41,65,51,4,28,100,32
4,52,59,33,60,10,0,9
72,40,38,54,0,82,95,26
50,60,31,82,54,61,23,5
53,92,86,97,6,50,77,20
7,67,22,6,60,30,49,88
56,73,13,46,63,70,73,90
20,63,68,1,78,85,25,12
48,93,85,38,94,14,43,47
3,93,45,29,72,8,54,63
49,31,61,95,91,57,3,69
47,37,9,79,30,37,5,78
91,69,19,36,40,86,43,66
32,44,3,31,71,30,84,8
31,72,1,39,60,90,26,59
97,3,36,71,25,70,60,45
31,70,67,77,84,17,34,20
45,61,89,51,25,27,92,67
65,2,86,11,72,72,74,54
63,21,19,76,60,89,11,29
32,18,20,17,7,15,69,24
19,79,21,82,43,24,40,97
46,10,99,5,18,78,97,78
65,57,45,1,14,59,5,11
18,78,74,56,20,9,42,94
26,5,27,87,6,44,63,29
36,98,97,97,27,0,28,9
64,100,69,58,87,15,81,99
97,100,15,90,76,82,99,68
95,8,83,34,67,37,33,91
44,20,21,41,83,27,21,49
24,91,6,26,8,9,5,82
46,83,8,54,86,75,58,25
96,19,46,15,54,59,87,66
49,32,51,7,69,75,94,14
2,34,86,44,64,98,87,16
50,79,11,31,53,14,52,95
81,87,9,49,74,44,30,68
75,87,70,29,73,10,90,30
74,95,15,38,30,42,7,19
68,15,50,17,2,38,20,29
73,34,20,54,66,84,13,42
67,44,25,75,33,95,44,1
51,4,62,71,98,8,27,65
79,9,70,57,37,61,72,98
13,35,81,22,51,1,9,68
17,16,88,95,16,63,68,27
92,75,98,29,81,94,46,84
90,44,74,74,60,3,17,66
55,14,79,7,85,11,92,31
37,15,49,94,4,52,69,9
63,54,76,66,21,91,70,14
87,51,56,33,95,95,76,76
81,9,22,9,10,66,10,10
9,14,74,15,7,54,68,4
64,57,69,93,92,21,57,40
6,64,96,61,27,79,45,36
25,32,42,56,44,79,33,82
33,41,21,98,74,57,11,71
31,87,66,1,98,47,17,64
26,90,85,47,84,91,51,86
57,31,27,22,7,21,49,65
66,86,94,35,61,32,52,53
39,17,14,47,63,82,91,10
65,61,29,21,56,66,32,91
97,52,58,76,18,18,79,20
36,4,68,34,76,14,0,18
40,46,57,29,68,98,29,69
51,7,95,64,50,82,63,12
66,44,63,60,75,35,87,100
2,14,100,58,98,54,93,82
27,65,90,28,0,62,59,74
81,18,31,36,43,64,60,72
9,63,67,57,55,35,91,46
57,24,74,45,5,26,6,82
24,13,52,12,77,98,24,92
10,42,20,2,91,30,100,60
81,63,51,64,14,45,24,31
64,86,44,64,12,93,69,18
79,87,81,71,63,43,99,9
25,2,54,13,28,32,83,10
17,82,67,64,100,90,87,54
60,74,22,62,13,94,59,11
32,63,43,0,54,50,55,78
87,59,40,39,27,100,48,14
85,2,4,37,49,93,74,74
18,94,92,46,39,10,9,51
77,63,79,36,81,17,28,59
24,39,56,7,61,66,74,66
11,69,58,98,64,4,33,20
10,84,66,9,15,52,13,58
52,34,48,52,51,44,19,15
78,19,19,54,80,8,17,31
58,87,52,69,92,0,0,98
48,30,67,53,88,93,89,0
18,88,42,66,64,100,50,96
51,87,35,44,92,69,50,99
73,91,88,80,52,61,44,5
56,92,35,53,23,73,35,98
62,16,58,40,70,36,4,83
83,51,6,67,83,89,67,49
92,33,45,36,71,97,22,89
65,84,26,96,82,67,61,38
63,4,69,94,75,39,21,35
51,53,24,64,15,93,15,83
48,40,32,49,85,49,29,89
51,53,2,44,47,97,9,10
82,5,49,71,84,44,96,84
95,14,60,95,38,19,37,31
79,92,37,99,84,50,57,79
46,91,19,64,9,23,86,76
37,57,50,57,78,8,92,65
93,17,56,48,26,86,8,46
28,13,92,32,64,40,37,21
41,93,28,17,63,94,98,35
74,7,73,54,92,3,42,22
100,94,50,66,6,88,34,15
82,27,51,5,33,97,44,30
0,89,63,59,62,91,70,99
23,96,72,65,26,6,89,23
67,91,78,98,51,51,3,32
86,65,98,38,50,5,98,33
58,34,8,35,91,74,59,30
79,32,63,0,51,14,22,7
72,59,18,14,90,56,47,20
12,63,29,56,59,41,85,46
5,65,18,34,69,85,65,55
15,21,46,46,47,40,69,21
95,21,13,56,26,44,76,95
36,63,96,87,40,34,90,23
100,55,36,51,100,55,71,93
93,42,92,54,86,66,71,60
17,69,22,70,2,47,88,3
65,91,0,96,2,56,44,94
99,87,49,13,89,37,28,90
66,45,30,42,91,69,33,40
8,25,73,3,98,27,64,8
65,20,9,86,89,76,93,4
15,49,59,44,74,35,75,79
97,19,16,78,90,14,95,68
74,13,79,87,7,55,89,59
11,40,27,67,11,31,13,86
85,32,9,66,27,42,80,31
50,48,32,81,73,72,87,99
20,51,95,15,0,6,80,79
58,9,100,80,14,67,55,87
35,73,62,57,66,63,35,17
8,33,24,91,41,99,54,6
44,57,48,99,99,27,11,71
20,15,57,88,48,31,81,55
3,99,4,53,93,24,21,37
43,25,43,58,35,19,74,28
38,28,1,48,44,6,50,41
71,80,1,40,25,44,44,0
35,1,30,74,34,72,99,6
30,11,81,86,36,2,94,90
89,39,0,97,40,64,81,96
59,34,59,2,81,89,56,38
52,80,19,84,35,66,95,9
55,40,13,41,88,14,92,47
44,61,9,81,55,28,76,27
13,56,62,38,82,84,65,64
82,16,90,59,89,33,54,88
48,49,75,38,65,10,46,65
32,76,25,2,1,42,30,31
86,78,8,97,85,26,75,92
10,68,45,63,96,87,85,42
90,38,37,72,55,80,71,44
75,22,30,87,72,70,59,49
23,68,34,74,29,67,82,84
57,43,63,7,20,77,58,29
74,14,32,17,38,31,55,56
48,73,68,99,29,53,23,92
53,70,49,28,36,80,41,51
46,74,49,41,35,45,58,51
6,67,98,67,97,46,41,58
5,44,13,78,30,69,47,11
59,75,26,8,26,86,22,71
6,39,27,88,59,18,73,17
56,25,31,62,37,81,43,51
88,9,56,81,53,49,84,46
31,42,10,67,74,35,17,79
37,36,98,85,77,3,90,53
99,26,21,92,91,75,95,41
41,2,39,18,32,88,21,57
0,21,50,54,42,87,68,57
67,57,32,48,35,5,92,47
62,15,11,53,48,45,3,89
86,96,10,38,4,73,88,29
53,68,35,69,47,8,76,23
65,17,50,12,10,78,39,60
21,1,10,38,28,26,57,7
76,35,92,44,12,47,82,75
92,77,7,84,79,49,3,2
19,54,33,3,95,21,56,61
12,47,21,70,36,33,65,34
14,81,74,78,57,26,57,38
57,7,9,45,23,1,79,71
53,44,90,88,20,6,22,19
59,55,30,37,86,71,52,99
97,32,91,62,19,23,77,87
76,31,54,94,30,62,95,95
78,67,94,17,58,41,68,2
51,21,31,66,63,85,26,56
21,33,91,29,58,45,49,33
59,80,23,70,1,65,32,38
60,91,73,15,21,33,85,16
81,34,74,64,2,12,1,17
97,31,10,31,12,24,54,25
38,4,74,9,58,23,68,20
78,36,13,57,32,55,52,63
17,93,100,26,67,29,43,97
41,66,58,23,36,0,93,78
76,82,76,80,62,9,24,19
75,92,41,24,28,67,82,2
14,12,74,42,34,83,56,5
23,35,85,50,15,34,92,63
82,6,21,76,44,59,73,66
90,30,10,32,8,67,48,68
45,71,73,77,79,38,96,30
80,27,87,43,14,82,3,57
80,84,39,2,13,84,6,56
21,46,5,71,11,36,56,67
97,97,91,57,80,4,51,76
65,3,2,61,96,0,95,66
72,7,76,83,63,68,77,74
83,36,13,53,21,64,13,69
32,29,46,75,7,32,65,34
41,12,3,88,9,71,69,17
